rank,frame_id,label,score
0,20250417_123456_Cam4_00140,1,0.87616163
1,20251112_191827_Cam4_00066,0,0.86303842
2,20251112_191827_Cam4_00028,1,0.85730004
3,20251112_191827_Cam4_00095,1,0.84653831
4,20251112_191827_Cam4_00015,1,0.82035720
5,20251112_191827_Cam4_00034,0,0.79781228
6,20250417_123456_Cam4_00079,0,0.79331946
7,20251112_191827_Cam4_00011,1,0.77785724
8,20251210_185619_Cam4_00034,0,0.76625192
9,20250417_123456_Cam4_00162,1,0.76294482
10,20251112_191827_Cam4_00054,1,0.76127684
11,20251112_191827_Cam4_00088,1,0.75924742
12,20251112_191827_Cam4_00063,0,0.75646091
13,20250417_123456_Cam4_00134,0,0.74201035
14,20250417_123456_Cam4_00152,0,0.74142939
15,20251210_185619_Cam4_00046,0,0.72319829
