rank,frame_id,score,label
0,20251112_191827_Cam2_00015,0.15292966,1
1,20251112_191827_Cam2_00029,0.04065979,1
2,20251112_191827_Cam2_00095,0.03523600,1
3,20250417_123456_Cam2_00148,0.02559854,1
4,20251112_191827_Cam2_00100,0.00962571,0
5,20251210_185619_Cam2_00029,0.00810518,1
6,20251210_185619_Cam2_00045,0.00451617,0
7,20251210_185619_Cam2_00026,0.00432447,0
8,20251210_185619_Cam2_00050,0.00429929,0
9,20251210_185619_Cam2_00033,0.00418198,0
10,20251210_185619_Cam2_00016,0.00417405,1
11,20251210_185619_Cam2_00028,0.00406292,1
12,20251210_185619_Cam2_00015,0.00384014,1
13,20251210_185619_Cam2_00044,0.00367817,0
