rank,frame_id,score,label
0,20251112_191827_Cam2_00015,0.07295837,1
1,20251112_191827_Cam2_00095,0.02307131,1
2,20251112_191827_Cam2_00029,0.02262459,1
3,20250417_123456_Cam2_00148,0.01435624,1
4,20251210_185619_Cam2_00050,0.00452116,0
5,20251210_185619_Cam2_00029,0.00430309,1
6,20251210_185619_Cam2_00026,0.00427638,0
7,20251112_191827_Cam2_00100,0.00427264,0
8,20251210_185619_Cam2_00045,0.00426684,0
9,20251210_185619_Cam2_00028,0.00426092,1
10,20251210_185619_Cam2_00044,0.00426052,0
11,20251210_185619_Cam2_00016,0.00423895,1
12,20251210_185619_Cam2_00033,0.00423321,0
13,20251210_185619_Cam2_00015,0.00422408,1
