rank,frame_id,score,label
0,20251112_191827_Cam2_00015,0.07726184,1
1,20251112_191827_Cam2_00029,0.02538981,1
2,20251112_191827_Cam2_00095,0.02108484,1
3,20250417_123456_Cam2_00148,0.01416475,1
4,20251210_185619_Cam2_00050,0.00482285,0
5,20251210_185619_Cam2_00029,0.00434552,1
6,20251210_185619_Cam2_00026,0.00432568,0
7,20251210_185619_Cam2_00016,0.00428812,1
8,20251210_185619_Cam2_00033,0.00428123,0
9,20251210_185619_Cam2_00015,0.00427409,1
10,20251210_185619_Cam2_00028,0.00425918,1
11,20251210_185619_Cam2_00044,0.00424147,0
12,20251210_185619_Cam2_00045,0.00423744,0
13,20251112_191827_Cam2_00100,0.00421519,0
