rank,frame_id,score,label
0,20251112_191827_Cam2_00015,0.07807711,1
1,20251112_191827_Cam2_00095,0.02679585,1
2,20251112_191827_Cam2_00029,0.02491369,1
3,20250417_123456_Cam2_00148,0.01968851,1
4,20251112_191827_Cam2_00100,0.01084694,0
5,20251210_185619_Cam2_00028,0.00665561,1
6,20251210_185619_Cam2_00015,0.00630072,1
7,20251210_185619_Cam2_00033,0.00590160,0
8,20251210_185619_Cam2_00016,0.00578030,1
9,20251210_185619_Cam2_00050,0.00576326,0
10,20251210_185619_Cam2_00045,0.00569169,0
11,20251210_185619_Cam2_00026,0.00565089,0
12,20251210_185619_Cam2_00029,0.00553008,1
13,20251210_185619_Cam2_00044,0.00537033,0
