rank,frame_id,score,label
0,20251210_185619_Cam3_00006,0.00596447,1
1,20251210_185619_Cam3_00023,0.00475010,0
2,20251210_185619_Cam3_00040,0.00450371,1
3,20251210_185619_Cam3_00005,0.00444392,1
4,20251210_185619_Cam3_00012,0.00431463,1
5,20251210_185619_Cam3_00008,0.00415473,0
6,20251210_185619_Cam3_00009,0.00403761,1
7,20251210_185619_Cam3_00019,0.00376562,0
8,20251210_185619_Cam3_00033,0.00295791,0
9,20251210_185619_Cam3_00027,0.00282399,0
10,20251210_185619_Cam3_00014,0.00275813,0
11,20251210_185619_Cam3_00037,0.00248579,0
