rank,frame_id,score,label
0,20251210_185619_Cam3_00006,0.00548901,1
1,20251210_185619_Cam3_00023,0.00463608,0
2,20251210_185619_Cam3_00005,0.00451194,1
3,20251210_185619_Cam3_00040,0.00438023,1
4,20251210_185619_Cam3_00012,0.00416542,1
5,20251210_185619_Cam3_00009,0.00413604,1
6,20251210_185619_Cam3_00008,0.00408228,0
7,20251210_185619_Cam3_00019,0.00374217,0
8,20251210_185619_Cam3_00033,0.00309015,0
9,20251210_185619_Cam3_00014,0.00295352,0
10,20251210_185619_Cam3_00027,0.00282559,0
11,20251210_185619_Cam3_00037,0.00273314,0
