view_id,config_name,status,reason,ckpt,depth_peft_ckpt,num_images,num_abnormal,num_normal,auroc_rgb,auroc_depth,auroc_fusion,delta_rgb_vs_baseline,delta_depth_vs_baseline,delta_fusion_vs_baseline,result_json
2,baseline,ok,,outputs\rail_all\Cam2\20260501_001404_cam2_bs32_lr0.005_img512_ratio1.0\best_cam2.pth,,14,8,6,0.66666667,0.83333333,0.66666667,0.00000000,0.00000000,0.00000000,$out\cam2_baseline\result.json
2,with_cam4peft,ok,,outputs\rail_all\Cam2\20260501_001404_cam2_bs32_lr0.005_img512_ratio1.0\best_cam2.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,14,8,6,0.66666667,0.66666667,0.81250000,0.00000000,-0.16666666,0.14583333,$out\cam2_with_cam4peft\result.json
3,baseline,ok,,outputs\rail_all\Cam3\20260501_005804_cam3_bs32_lr0.005_img512_ratio1.0\best_cam3.pth,,12,5,7,0.85714286,0.60000000,0.62857143,0.00000000,0.00000000,0.00000000,$out\cam3_baseline\result.json
3,with_cam4peft,ok,,outputs\rail_all\Cam3\20260501_005804_cam3_bs32_lr0.005_img512_ratio1.0\best_cam3.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,12,5,7,0.88571429,0.65714286,0.60000000,0.02857143,0.05714286,-0.02857143,$out\cam3_with_cam4peft\result.json
6,baseline,ok,,outputs\rail_all\Cam6\20260501_031052_cam6_bs32_lr0.005_img512_ratio1.0\best_cam6.pth,,11,4,7,0.82142857,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,$out\cam6_baseline\result.json
6,with_cam4peft,ok,,outputs\rail_all\Cam6\20260501_031052_cam6_bs32_lr0.005_img512_ratio1.0\best_cam6.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,11,4,7,0.75000000,1.00000000,1.00000000,-0.07142857,0.00000000,0.00000000,$out\cam6_with_cam4peft\result.json
7,baseline,skipped,no test samples for this view,outputs\rail_all\Cam7\20260501_035506_cam7_bs32_lr0.005_img512_ratio1.0\best_cam7.pth,,0,0,0,,,,,,,$out\cam7_baseline\result.json
7,with_cam4peft,skipped,no test samples for this view,outputs\rail_all\Cam7\20260501_035506_cam7_bs32_lr0.005_img512_ratio1.0\best_cam7.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,0,0,0,,,,,,,$out\cam7_with_cam4peft\result.json
8,baseline,skipped,no test samples for this view,outputs\rail_all\Cam8\20260501_043913_cam8_bs32_lr0.005_img512_ratio1.0\best_cam8.pth,,0,0,0,,,,,,,$out\cam8_baseline\result.json
8,with_cam4peft,skipped,no test samples for this view,outputs\rail_all\Cam8\20260501_043913_cam8_bs32_lr0.005_img512_ratio1.0\best_cam8.pth,outputs/rail_peft/cam4_p1_20260501_225618/final/final_peft_cam4.pth,0,0,0,,,,,,,$out\cam8_with_cam4peft\result.json
