group,scheme,score_source,scores_csv,n_images,n_normal,n_abnormal,threshold_r100,fp_r100,fpr_r100,precision_r100,fp_frames
static_rgb_cam4,padim,rgb,results/baselines_rgb/cam4/padim/scores.csv,18,8,10,98.83341217,1,0.1250,0.9091,20250417_123456_Cam4_00152
static_rgb_cam4,patchcore,rgb,results/baselines_rgb/cam4/patchcore/scores.csv,18,8,10,0.75946987,3,0.3750,0.7692,20251112_191827_Cam4_00066 20250417_123456_Cam4_00152 20251210_185619_Cam4_00034
static_rgb_cam4,fastflow,rgb,results/baselines_rgb/cam4/fastflow/scores.csv,18,8,10,0.00243026,7,0.8750,0.5882,20250417_123456_Cam4_00134 20250417_123456_Cam4_00079 20250417_123456_Cam4_00152 20251210_185619_Cam4_00046 20251112_191827_Cam4_00066 20251210_185619_Cam4_00034 20251112_191827_Cam4_00034
static_rgb_cam4,draem,rgb,results/baselines_rgb/cam4/draem/scores.csv,18,8,10,0.51953125,8,1.0000,0.5556,20251112_191827_Cam4_00066 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20250417_123456_Cam4_00152 20251210_185619_Cam4_00034 20250417_123456_Cam4_00079 20251210_185619_Cam4_00046 20250417_123456_Cam4_00134
static_rgb_cam4,stfpm,rgb,results/baselines_rgb/cam4/stfpm/scores.csv,18,8,10,0.06346634,5,0.6250,0.6667,20250417_123456_Cam4_00079 20251112_191827_Cam4_00066 20251112_191827_Cam4_00063 20251210_185619_Cam4_00046 20251112_191827_Cam4_00034
static_rgb_cam4,rd4ad_i,rgb,results/baselines_rgb/cam4/rd4ad_i/scores.csv,18,8,10,0.03098604,1,0.1250,0.9091,20251112_191827_Cam4_00066
static_rgbd_cam4,padim,fusion,results/baselines_rgbd/cam4/padim/scores_fusion.csv,18,8,10,386.56130981,8,1.0000,0.5556,20251112_191827_Cam4_00066 20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20251210_185619_Cam4_00046 20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251210_185619_Cam4_00034 20251112_191827_Cam4_00063
static_rgbd_cam4,patchcore,fusion,results/baselines_rgbd/cam4/patchcore/scores_fusion.csv,18,8,10,1.57605171,7,0.8750,0.5882,20251112_191827_Cam4_00034 20251112_191827_Cam4_00066 20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20251210_185619_Cam4_00046 20250417_123456_Cam4_00152 20251210_185619_Cam4_00034
static_rgbd_cam4,fastflow,fusion,results/baselines_rgbd/cam4/fastflow/scores_fusion.csv,18,8,10,0.01421648,8,1.0000,0.5556,20251210_185619_Cam4_00034 20250417_123456_Cam4_00152 20250417_123456_Cam4_00134 20251210_185619_Cam4_00046 20251112_191827_Cam4_00066 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20250417_123456_Cam4_00079
static_rgbd_cam4,draem,fusion,results/baselines_rgbd/cam4/draem/scores_fusion.csv,18,8,10,1.49609375,8,1.0000,0.5556,20251210_185619_Cam4_00046 20251112_191827_Cam4_00063 20251112_191827_Cam4_00034 20251112_191827_Cam4_00066 20250417_123456_Cam4_00134 20251210_185619_Cam4_00034 20250417_123456_Cam4_00152 20250417_123456_Cam4_00079
