rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.14276528,0
1,20250417_123456_Cam4_00134,0.13111711,0
2,20250417_123456_Cam4_00152,0.12242861,0
3,20251112_191827_Cam4_00028,0.12160180,1
4,20251210_185619_Cam4_00034,0.12024388,0
5,20250417_123456_Cam4_00140,0.11881395,1
6,20251112_191827_Cam4_00095,0.11787590,1
7,20251112_191827_Cam4_00015,0.11710139,1
8,20251210_185619_Cam4_00022,0.11017930,1
9,20251112_191827_Cam4_00034,0.10194204,0
10,20251112_191827_Cam4_00066,0.09960449,0
11,20251112_191827_Cam4_00011,0.09675955,1
12,20251112_191827_Cam4_00063,0.09422788,0
13,20251112_191827_Cam4_00054,0.09404227,1
14,20250417_123456_Cam4_00162,0.08906376,1
15,20251210_185619_Cam4_00024,0.08728317,1
16,20251210_185619_Cam4_00046,0.08614075,0
17,20251112_191827_Cam4_00088,0.08224606,1
