rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.14021961,0
1,20250417_123456_Cam4_00134,0.12883447,0
2,20250417_123456_Cam4_00152,0.12043600,0
3,20251112_191827_Cam4_00028,0.11939561,1
4,20250417_123456_Cam4_00140,0.11649472,1
5,20251112_191827_Cam4_00095,0.11510760,1
6,20251210_185619_Cam4_00034,0.11300086,0
7,20251112_191827_Cam4_00015,0.11264584,1
8,20251210_185619_Cam4_00022,0.10791724,1
9,20251112_191827_Cam4_00034,0.09919269,0
10,20251112_191827_Cam4_00066,0.09597582,0
11,20251112_191827_Cam4_00011,0.09309410,1
12,20251112_191827_Cam4_00063,0.09191806,0
13,20251112_191827_Cam4_00054,0.09123351,1
14,20250417_123456_Cam4_00162,0.08626040,1
15,20251210_185619_Cam4_00024,0.08341424,1
16,20251210_185619_Cam4_00046,0.08209821,0
17,20251112_191827_Cam4_00088,0.07840903,1
