rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.04024393,1
1,20250417_123456_Cam4_00134,0.00913415,0
2,20251112_191827_Cam4_00028,0.00886039,1
3,20251210_185619_Cam4_00024,0.00791964,1
4,20251112_191827_Cam4_00095,0.00788211,1
5,20250417_123456_Cam4_00152,0.00724559,0
6,20251112_191827_Cam4_00054,0.00649886,1
7,20251210_185619_Cam4_00022,0.00600601,1
8,20250417_123456_Cam4_00162,0.00546184,1
9,20250417_123456_Cam4_00079,0.00543630,0
10,20250417_123456_Cam4_00140,0.00530924,1
11,20251112_191827_Cam4_00066,0.00434962,0
12,20251112_191827_Cam4_00034,0.00423942,0
13,20251112_191827_Cam4_00011,0.00400548,1
14,20251112_191827_Cam4_00063,0.00376305,0
15,20251210_185619_Cam4_00034,0.00374596,0
16,20251112_191827_Cam4_00088,0.00369094,1
17,20251210_185619_Cam4_00046,0.00358854,0
