rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01241541,1
1,20251112_191827_Cam4_00095,0.00842113,1
2,20251112_191827_Cam4_00028,0.00776170,1
3,20251112_191827_Cam4_00054,0.00595545,1
4,20250417_123456_Cam4_00140,0.00545417,1
5,20250417_123456_Cam4_00162,0.00485098,1
6,20251112_191827_Cam4_00066,0.00421394,0
7,20251112_191827_Cam4_00034,0.00418587,0
8,20250417_123456_Cam4_00079,0.00404471,0
9,20251210_185619_Cam4_00024,0.00401398,1
10,20251112_191827_Cam4_00011,0.00400234,1
11,20251112_191827_Cam4_00088,0.00360089,1
12,20251112_191827_Cam4_00063,0.00353507,0
13,20250417_123456_Cam4_00152,0.00352742,0
14,20251210_185619_Cam4_00034,0.00328133,0
15,20251210_185619_Cam4_00022,0.00263148,1
16,20250417_123456_Cam4_00134,0.00261805,0
17,20251210_185619_Cam4_00046,0.00260122,0
