rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.15789467,0
1,20250417_123456_Cam4_00134,0.14530711,0
2,20250417_123456_Cam4_00152,0.13796629,0
3,20251210_185619_Cam4_00022,0.13579555,1
4,20251112_191827_Cam4_00028,0.13506812,1
5,20250417_123456_Cam4_00140,0.13150027,1
6,20251112_191827_Cam4_00095,0.12893429,1
7,20251210_185619_Cam4_00034,0.12706079,0
8,20251112_191827_Cam4_00034,0.12027457,0
9,20251112_191827_Cam4_00011,0.11372664,1
10,20251112_191827_Cam4_00066,0.10981309,0
11,20251112_191827_Cam4_00054,0.10283249,1
12,20251210_185619_Cam4_00046,0.10111751,0
13,20251112_191827_Cam4_00015,0.10062091,1
14,20250417_123456_Cam4_00162,0.09986073,1
15,20251112_191827_Cam4_00063,0.09905814,0
16,20251210_185619_Cam4_00024,0.09719215,1
17,20251112_191827_Cam4_00088,0.08498304,1
