rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.15297927,0
1,20250417_123456_Cam4_00134,0.14206733,0
2,20250417_123456_Cam4_00152,0.13417314,0
3,20251210_185619_Cam4_00022,0.13315544,1
4,20251112_191827_Cam4_00028,0.13147303,1
5,20251112_191827_Cam4_00034,0.12739852,0
6,20251112_191827_Cam4_00095,0.12649088,1
7,20250417_123456_Cam4_00140,0.12574868,1
8,20251210_185619_Cam4_00034,0.12196416,0
9,20251112_191827_Cam4_00011,0.11311272,1
10,20251112_191827_Cam4_00066,0.10970209,0
11,20251210_185619_Cam4_00046,0.10169125,0
12,20251112_191827_Cam4_00015,0.10024571,1
13,20251210_185619_Cam4_00024,0.10006815,1
14,20251112_191827_Cam4_00054,0.09756091,1
15,20250417_123456_Cam4_00162,0.09721891,1
16,20251112_191827_Cam4_00063,0.09678032,0
17,20251112_191827_Cam4_00088,0.08559494,1
