rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.15891463,0
1,20250417_123456_Cam4_00134,0.14709692,0
2,20250417_123456_Cam4_00152,0.13945997,0
3,20251210_185619_Cam4_00022,0.13705376,1
4,20251112_191827_Cam4_00028,0.13659890,1
5,20250417_123456_Cam4_00140,0.13309357,1
6,20251112_191827_Cam4_00095,0.12998046,1
7,20251210_185619_Cam4_00034,0.12832482,0
8,20251112_191827_Cam4_00034,0.12277725,0
9,20251112_191827_Cam4_00015,0.11528403,1
10,20251112_191827_Cam4_00011,0.11526560,1
11,20251112_191827_Cam4_00066,0.11118609,0
12,20251112_191827_Cam4_00054,0.10436531,1
13,20251210_185619_Cam4_00046,0.10220102,0
14,20251112_191827_Cam4_00063,0.10211607,0
15,20250417_123456_Cam4_00162,0.10198954,1
16,20251210_185619_Cam4_00024,0.09860533,1
17,20251112_191827_Cam4_00088,0.08587418,1
