rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.06246709,1
1,20251112_191827_Cam4_00028,0.01627786,1
2,20251112_191827_Cam4_00095,0.01600641,1
3,20251210_185619_Cam4_00024,0.01470200,1
4,20250417_123456_Cam4_00134,0.01240617,0
5,20250417_123456_Cam4_00152,0.01016015,0
6,20251210_185619_Cam4_00022,0.00987659,1
7,20251112_191827_Cam4_00054,0.00966784,1
8,20250417_123456_Cam4_00162,0.00861666,1
9,20250417_123456_Cam4_00079,0.00813392,0
10,20250417_123456_Cam4_00140,0.00802184,1
11,20251112_191827_Cam4_00066,0.00779187,0
12,20251112_191827_Cam4_00034,0.00750182,0
13,20251112_191827_Cam4_00088,0.00713687,1
14,20251112_191827_Cam4_00011,0.00705340,1
15,20251210_185619_Cam4_00046,0.00671188,0
16,20251210_185619_Cam4_00034,0.00659561,0
17,20251112_191827_Cam4_00063,0.00609783,0
