rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01775720,1
1,20251112_191827_Cam4_00095,0.01736177,1
2,20251112_191827_Cam4_00028,0.01506861,1
3,20251112_191827_Cam4_00054,0.00999029,1
4,20250417_123456_Cam4_00140,0.00844082,1
5,20251112_191827_Cam4_00066,0.00829063,0
6,20250417_123456_Cam4_00079,0.00823604,0
7,20250417_123456_Cam4_00162,0.00816025,1
8,20251210_185619_Cam4_00024,0.00741658,1
9,20251112_191827_Cam4_00011,0.00724355,1
10,20251112_191827_Cam4_00088,0.00717397,1
11,20251112_191827_Cam4_00034,0.00713901,0
12,20251112_191827_Cam4_00063,0.00644417,0
13,20251210_185619_Cam4_00022,0.00590601,1
14,20251210_185619_Cam4_00034,0.00559315,0
15,20250417_123456_Cam4_00152,0.00528218,0
16,20250417_123456_Cam4_00134,0.00494277,0
17,20251210_185619_Cam4_00046,0.00489817,0
