rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.13969503,0
1,20250417_123456_Cam4_00134,0.12802978,0
2,20250417_123456_Cam4_00152,0.11921960,0
3,20251112_191827_Cam4_00028,0.11854853,1
4,20250417_123456_Cam4_00140,0.11577187,1
5,20251112_191827_Cam4_00095,0.11477011,1
6,20251210_185619_Cam4_00034,0.11203606,0
7,20251112_191827_Cam4_00015,0.10953199,1
8,20251210_185619_Cam4_00022,0.10684269,1
9,20251112_191827_Cam4_00034,0.09931644,0
10,20251112_191827_Cam4_00066,0.09611826,0
11,20251112_191827_Cam4_00011,0.09336911,1
12,20251112_191827_Cam4_00054,0.09164527,1
13,20251112_191827_Cam4_00063,0.09078368,0
14,20250417_123456_Cam4_00162,0.08756822,1
15,20251210_185619_Cam4_00024,0.08448066,1
16,20251210_185619_Cam4_00046,0.08365289,0
17,20251112_191827_Cam4_00088,0.08046328,1
