rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.14229479,0
1,20250417_123456_Cam4_00134,0.13067091,0
2,20250417_123456_Cam4_00152,0.12202442,0
3,20251112_191827_Cam4_00028,0.12080743,1
4,20250417_123456_Cam4_00140,0.11859830,1
5,20251112_191827_Cam4_00095,0.11696766,1
6,20251112_191827_Cam4_00015,0.11628821,1
7,20251210_185619_Cam4_00034,0.11419811,0
8,20251210_185619_Cam4_00022,0.11099467,1
9,20251112_191827_Cam4_00034,0.10163274,0
10,20251112_191827_Cam4_00066,0.09888761,0
11,20251112_191827_Cam4_00011,0.09579439,1
12,20251112_191827_Cam4_00054,0.09352801,1
13,20251112_191827_Cam4_00063,0.09342335,0
14,20250417_123456_Cam4_00162,0.08895505,1
15,20251210_185619_Cam4_00024,0.08668475,1
16,20251210_185619_Cam4_00046,0.08559599,0
17,20251112_191827_Cam4_00088,0.08180220,1
