rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.14016119,0
1,20250417_123456_Cam4_00134,0.12881453,0
2,20250417_123456_Cam4_00152,0.12000158,0
3,20251112_191827_Cam4_00028,0.11921034,1
4,20250417_123456_Cam4_00140,0.11679370,1
5,20251112_191827_Cam4_00095,0.11516069,1
6,20251210_185619_Cam4_00034,0.11271261,0
7,20251112_191827_Cam4_00015,0.11136917,1
8,20251210_185619_Cam4_00022,0.10749883,1
9,20251112_191827_Cam4_00034,0.09996781,0
10,20251112_191827_Cam4_00066,0.09689576,0
11,20251112_191827_Cam4_00011,0.09427167,1
12,20251112_191827_Cam4_00063,0.09308702,0
13,20251112_191827_Cam4_00054,0.09248661,1
14,20250417_123456_Cam4_00162,0.08840854,1
15,20251210_185619_Cam4_00024,0.08536055,1
16,20251210_185619_Cam4_00046,0.08443165,0
17,20251112_191827_Cam4_00088,0.08089806,1
