rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01319840,1
1,20251112_191827_Cam4_00028,0.01073852,1
2,20251112_191827_Cam4_00095,0.00950621,1
3,20251112_191827_Cam4_00054,0.00910090,1
4,20250417_123456_Cam4_00140,0.00764424,1
5,20251112_191827_Cam4_00066,0.00727981,0
6,20250417_123456_Cam4_00079,0.00672969,0
7,20251112_191827_Cam4_00034,0.00647456,0
8,20251112_191827_Cam4_00088,0.00644768,1
9,20251210_185619_Cam4_00034,0.00628781,0
10,20250417_123456_Cam4_00162,0.00621964,1
11,20251210_185619_Cam4_00024,0.00573488,1
12,20251112_191827_Cam4_00063,0.00552899,0
13,20251210_185619_Cam4_00022,0.00490453,1
14,20251112_191827_Cam4_00011,0.00488979,1
15,20250417_123456_Cam4_00152,0.00485552,0
16,20250417_123456_Cam4_00134,0.00427806,0
17,20251210_185619_Cam4_00046,0.00370680,0
