rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01434232,1
1,20251112_191827_Cam4_00028,0.01014508,1
2,20251112_191827_Cam4_00095,0.01011643,1
3,20250417_123456_Cam4_00140,0.00822505,1
4,20251112_191827_Cam4_00054,0.00821051,1
5,20251112_191827_Cam4_00066,0.00672552,0
6,20251112_191827_Cam4_00034,0.00668811,0
7,20251112_191827_Cam4_00088,0.00666027,1
8,20250417_123456_Cam4_00162,0.00609619,1
9,20251210_185619_Cam4_00024,0.00596988,1
10,20250417_123456_Cam4_00079,0.00555355,0
11,20251210_185619_Cam4_00034,0.00525441,0
12,20251112_191827_Cam4_00011,0.00500572,1
13,20251112_191827_Cam4_00063,0.00498304,0
14,20250417_123456_Cam4_00152,0.00486000,0
15,20250417_123456_Cam4_00134,0.00440301,0
16,20251210_185619_Cam4_00022,0.00405170,1
17,20251210_185619_Cam4_00046,0.00398949,0
