rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.15431511,0
1,20250417_123456_Cam4_00134,0.14002770,0
2,20251210_185619_Cam4_00022,0.13339750,1
3,20250417_123456_Cam4_00152,0.13117643,0
4,20251112_191827_Cam4_00028,0.12877007,1
5,20250417_123456_Cam4_00140,0.12790032,1
6,20251112_191827_Cam4_00095,0.12559284,1
7,20251210_185619_Cam4_00034,0.12195418,0
8,20251112_191827_Cam4_00034,0.11824862,0
9,20251112_191827_Cam4_00011,0.11326990,1
10,20251112_191827_Cam4_00066,0.10940211,0
11,20251210_185619_Cam4_00046,0.10167301,0
12,20251112_191827_Cam4_00015,0.09954412,1
13,20251112_191827_Cam4_00054,0.09809967,1
14,20250417_123456_Cam4_00162,0.09720729,1
15,20251112_191827_Cam4_00063,0.09687836,0
16,20251210_185619_Cam4_00024,0.09640668,1
17,20251112_191827_Cam4_00088,0.08536116,1
