rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.15562735,0
1,20250417_123456_Cam4_00134,0.14189100,0
2,20251210_185619_Cam4_00022,0.13508998,1
3,20250417_123456_Cam4_00152,0.13288781,0
4,20251112_191827_Cam4_00028,0.13062294,1
5,20250417_123456_Cam4_00140,0.13007605,1
6,20251112_191827_Cam4_00095,0.12704994,1
7,20251210_185619_Cam4_00034,0.12360825,0
8,20251112_191827_Cam4_00034,0.11995222,0
9,20251112_191827_Cam4_00011,0.11543895,1
10,20251112_191827_Cam4_00066,0.11132752,0
11,20251112_191827_Cam4_00015,0.10709100,1
12,20251210_185619_Cam4_00046,0.10307366,0
13,20251112_191827_Cam4_00063,0.10087128,0
14,20251112_191827_Cam4_00054,0.10034365,1
15,20250417_123456_Cam4_00162,0.09945633,1
16,20251210_185619_Cam4_00024,0.09943573,1
17,20251112_191827_Cam4_00088,0.08659337,1
