rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.02037070,1
1,20251112_191827_Cam4_00095,0.01895491,1
2,20251112_191827_Cam4_00028,0.01781126,1
3,20251112_191827_Cam4_00054,0.01325428,1
4,20251112_191827_Cam4_00066,0.01269134,0
5,20250417_123456_Cam4_00140,0.01133687,1
6,20251210_185619_Cam4_00024,0.01082905,1
7,20250417_123456_Cam4_00162,0.01017877,1
8,20251112_191827_Cam4_00011,0.01001930,1
9,20250417_123456_Cam4_00079,0.01000407,0
10,20251112_191827_Cam4_00088,0.00988514,1
11,20251112_191827_Cam4_00034,0.00966686,0
12,20251112_191827_Cam4_00063,0.00960630,0
13,20251210_185619_Cam4_00034,0.00920352,0
14,20251210_185619_Cam4_00022,0.00879758,1
15,20250417_123456_Cam4_00134,0.00744237,0
16,20250417_123456_Cam4_00152,0.00716705,0
17,20251210_185619_Cam4_00046,0.00697508,0
