rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04973834,1
1,20251112_191827_Cam4_00015,0.04004286,1
2,20251112_191827_Cam4_00054,0.01922145,1
3,20251112_191827_Cam4_00088,0.01833647,1
4,20251112_191827_Cam4_00066,0.01712839,0
5,20251210_185619_Cam4_00024,0.01596317,1
6,20251112_191827_Cam4_00063,0.01570128,0
7,20251112_191827_Cam4_00028,0.01548993,1
8,20251112_191827_Cam4_00034,0.01468407,0
9,20250417_123456_Cam4_00162,0.01364467,1
10,20251210_185619_Cam4_00046,0.01286951,0
11,20250417_123456_Cam4_00152,0.01210902,0
12,20251210_185619_Cam4_00022,0.01041874,1
13,20251210_185619_Cam4_00034,0.01028686,0
14,20250417_123456_Cam4_00134,0.00923610,0
15,20250417_123456_Cam4_00140,0.00917091,1
16,20251112_191827_Cam4_00011,0.00806785,1
17,20250417_123456_Cam4_00079,0.00585724,0
