rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.06954610,1
1,20251112_191827_Cam4_00015,0.06047324,1
2,20251112_191827_Cam4_00028,0.04464119,1
3,20250417_123456_Cam4_00152,0.03685133,0
4,20251210_185619_Cam4_00024,0.03191406,1
5,20250417_123456_Cam4_00134,0.02645533,0
6,20251112_191827_Cam4_00011,0.01975333,1
7,20251112_191827_Cam4_00088,0.01912072,1
8,20251112_191827_Cam4_00034,0.01848693,0
9,20251112_191827_Cam4_00054,0.01818111,1
10,20251112_191827_Cam4_00063,0.01811923,0
11,20251112_191827_Cam4_00066,0.01788088,0
12,20250417_123456_Cam4_00140,0.01739018,1
13,20250417_123456_Cam4_00162,0.01634884,1
14,20251210_185619_Cam4_00034,0.01575582,0
15,20251210_185619_Cam4_00046,0.01556409,0
16,20251210_185619_Cam4_00022,0.01497036,1
17,20250417_123456_Cam4_00079,0.01381062,0
