rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01775952,1
1,20251112_191827_Cam4_00095,0.01735068,1
2,20251112_191827_Cam4_00028,0.01506777,1
3,20251112_191827_Cam4_00054,0.00998813,1
4,20250417_123456_Cam4_00140,0.00843671,1
5,20251112_191827_Cam4_00066,0.00828859,0
6,20250417_123456_Cam4_00079,0.00823757,0
7,20250417_123456_Cam4_00162,0.00816251,1
8,20251210_185619_Cam4_00024,0.00741093,1
9,20251112_191827_Cam4_00011,0.00724587,1
10,20251112_191827_Cam4_00088,0.00717380,1
11,20251112_191827_Cam4_00034,0.00714294,0
12,20251112_191827_Cam4_00063,0.00644741,0
13,20251210_185619_Cam4_00022,0.00590414,1
14,20251210_185619_Cam4_00034,0.00559697,0
15,20250417_123456_Cam4_00152,0.00528329,0
16,20250417_123456_Cam4_00134,0.00494299,0
17,20251210_185619_Cam4_00046,0.00489545,0
