rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04666752,1
1,20251112_191827_Cam4_00015,0.03632302,1
2,20250417_123456_Cam4_00152,0.01701966,0
3,20251112_191827_Cam4_00028,0.01656589,1
4,20250417_123456_Cam4_00134,0.01296322,0
5,20251210_185619_Cam4_00024,0.01104756,1
6,20251210_185619_Cam4_00022,0.00800832,1
7,20251112_191827_Cam4_00011,0.00595299,1
8,20251112_191827_Cam4_00066,0.00439717,0
9,20250417_123456_Cam4_00140,0.00438781,1
10,20251210_185619_Cam4_00046,0.00435107,0
11,20251112_191827_Cam4_00034,0.00433489,0
12,20251210_185619_Cam4_00034,0.00431806,0
13,20251112_191827_Cam4_00088,0.00430842,1
14,20251112_191827_Cam4_00063,0.00408392,0
15,20251112_191827_Cam4_00054,0.00396957,1
16,20250417_123456_Cam4_00162,0.00367457,1
17,20250417_123456_Cam4_00079,0.00312868,0
