rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01362059,1
1,20251112_191827_Cam4_00028,0.00950471,1
2,20251112_191827_Cam4_00095,0.00948483,1
3,20251112_191827_Cam4_00054,0.00842316,1
4,20250417_123456_Cam4_00140,0.00772900,1
5,20251112_191827_Cam4_00088,0.00660775,1
6,20251112_191827_Cam4_00034,0.00644314,0
7,20250417_123456_Cam4_00162,0.00606087,1
8,20251112_191827_Cam4_00066,0.00606011,0
9,20250417_123456_Cam4_00079,0.00549520,0
10,20251210_185619_Cam4_00024,0.00540812,1
11,20251210_185619_Cam4_00034,0.00530684,0
12,20251112_191827_Cam4_00063,0.00489796,0
13,20251112_191827_Cam4_00011,0.00462613,1
14,20250417_123456_Cam4_00152,0.00459337,0
15,20250417_123456_Cam4_00134,0.00412744,0
16,20251210_185619_Cam4_00022,0.00392677,1
17,20251210_185619_Cam4_00046,0.00377693,0
