rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.07211991,1
1,20251112_191827_Cam4_00015,0.06514777,1
2,20251112_191827_Cam4_00028,0.05068693,1
3,20251210_185619_Cam4_00024,0.03007195,1
4,20250417_123456_Cam4_00152,0.02912315,0
5,20250417_123456_Cam4_00134,0.02052716,0
6,20251112_191827_Cam4_00011,0.01855890,1
7,20250417_123456_Cam4_00140,0.01799303,1
8,20251112_191827_Cam4_00054,0.01755143,1
9,20251112_191827_Cam4_00066,0.01753684,0
10,20251112_191827_Cam4_00088,0.01734873,1
11,20251112_191827_Cam4_00034,0.01702300,0
12,20251112_191827_Cam4_00063,0.01632723,0
13,20251210_185619_Cam4_00034,0.01557520,0
14,20250417_123456_Cam4_00162,0.01525257,1
15,20251210_185619_Cam4_00022,0.01511114,1
16,20250417_123456_Cam4_00079,0.01414924,0
17,20251210_185619_Cam4_00046,0.01380634,0
