rank,frame_id,score,label
0,20251112_191827_Cam4_00095,1.00000000,1
1,20251112_191827_Cam4_00054,1.00000000,1
2,20251112_191827_Cam4_00088,0.95366765,1
3,20251112_191827_Cam4_00066,0.88079841,0
4,20251210_185619_Cam4_00024,0.83543401,1
5,20251112_191827_Cam4_00063,0.81193308,0
6,20251112_191827_Cam4_00034,0.76398974,0
7,20251112_191827_Cam4_00015,0.76021789,1
8,20250417_123456_Cam4_00162,0.70545423,1
9,20251210_185619_Cam4_00046,0.66313848,0
10,20251210_185619_Cam4_00022,0.53940631,1
11,20251210_185619_Cam4_00034,0.52151822,0
12,20250417_123456_Cam4_00140,0.46793141,1
13,20251112_191827_Cam4_00011,0.40864234,1
14,20251112_191827_Cam4_00028,0.37736702,1
15,20250417_123456_Cam4_00134,0.32818711,0
16,20250417_123456_Cam4_00079,0.30632324,0
17,20250417_123456_Cam4_00152,0.24094502,0
