rank,frame_id,score,label
0,20251112_191827_Cam4_00054,0.01898274,1
1,20251112_191827_Cam4_00088,0.01810542,1
2,20251112_191827_Cam4_00066,0.01672562,0
3,20251210_185619_Cam4_00024,0.01586663,1
4,20251112_191827_Cam4_00063,0.01542163,0
5,20251112_191827_Cam4_00034,0.01451381,0
6,20250417_123456_Cam4_00162,0.01340543,1
7,20251210_185619_Cam4_00046,0.01260416,0
8,20251112_191827_Cam4_00015,0.01258992,1
9,20251210_185619_Cam4_00022,0.01026126,1
10,20251210_185619_Cam4_00034,0.00992254,0
11,20250417_123456_Cam4_00140,0.00890786,1
12,20251112_191827_Cam4_00095,0.00805652,1
13,20251112_191827_Cam4_00011,0.00778520,1
14,20251112_191827_Cam4_00028,0.00719300,1
15,20250417_123456_Cam4_00134,0.00626176,0
16,20250417_123456_Cam4_00079,0.00584776,0
17,20250417_123456_Cam4_00152,0.00460980,0
