rank,frame_id,score,label
0,20251112_191827_Cam4_00095,1.00000000,1
1,20251112_191827_Cam4_00088,1.00000000,1
2,20251210_185619_Cam4_00024,0.99014746,1
3,20251112_191827_Cam4_00063,0.96157234,0
4,20251112_191827_Cam4_00015,0.90013705,1
5,20251112_191827_Cam4_00054,0.87348425,1
6,20251112_191827_Cam4_00034,0.85180608,0
7,20251112_191827_Cam4_00066,0.84074298,0
8,20251112_191827_Cam4_00028,0.70117077,1
9,20250417_123456_Cam4_00162,0.67714853,1
10,20251210_185619_Cam4_00034,0.66504945,0
11,20250417_123456_Cam4_00140,0.65810267,1
12,20251210_185619_Cam4_00022,0.64254042,1
13,20251210_185619_Cam4_00046,0.63686723,0
14,20251112_191827_Cam4_00011,0.49741954,1
15,20250417_123456_Cam4_00134,0.35271267,0
16,20250417_123456_Cam4_00079,0.30749556,0
17,20250417_123456_Cam4_00152,0.27322380,0
