rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04897339,1
1,20251112_191827_Cam4_00015,0.03735947,1
2,20250417_123456_Cam4_00152,0.01778718,0
3,20251112_191827_Cam4_00028,0.01532882,1
4,20250417_123456_Cam4_00134,0.01342622,0
5,20251210_185619_Cam4_00024,0.01146893,1
6,20251210_185619_Cam4_00022,0.00875746,1
7,20251112_191827_Cam4_00011,0.00597831,1
8,20251112_191827_Cam4_00066,0.00438865,0
9,20251210_185619_Cam4_00034,0.00433732,0
10,20250417_123456_Cam4_00140,0.00432128,1
11,20251210_185619_Cam4_00046,0.00431030,0
12,20250417_123456_Cam4_00162,0.00422623,1
13,20251112_191827_Cam4_00034,0.00404344,0
14,20251112_191827_Cam4_00054,0.00368449,1
15,20251112_191827_Cam4_00088,0.00302694,1
16,20251112_191827_Cam4_00063,0.00283819,0
17,20250417_123456_Cam4_00079,0.00234065,0
