rank,frame_id,score,label
0,20251112_191827_Cam4_00095,1.00000000,1
1,20251112_191827_Cam4_00015,1.00000000,1
2,20251112_191827_Cam4_00028,0.69552886,1
3,20251112_191827_Cam4_00054,0.61552150,1
4,20250417_123456_Cam4_00140,0.56417166,1
5,20251112_191827_Cam4_00088,0.48122752,1
6,20251112_191827_Cam4_00034,0.46905073,0
7,20250417_123456_Cam4_00162,0.44077179,1
8,20251112_191827_Cam4_00066,0.44071571,0
9,20250417_123456_Cam4_00079,0.39892692,0
10,20251210_185619_Cam4_00024,0.39248506,1
11,20251210_185619_Cam4_00034,0.38499308,0
12,20250417_123456_Cam4_00152,0.36468382,0
13,20251112_191827_Cam4_00063,0.35474636,0
14,20251112_191827_Cam4_00011,0.33463797,1
15,20250417_123456_Cam4_00134,0.29774718,0
16,20251210_185619_Cam4_00022,0.28290267,1
17,20251210_185619_Cam4_00046,0.27181871,0
