rank,frame_id,score,label
0,20251112_191827_Cam4_00095,1.00000000,1
1,20251112_191827_Cam4_00015,1.00000000,1
2,20251112_191827_Cam4_00028,0.87304164,1
3,20251112_191827_Cam4_00054,0.64570419,1
4,20251112_191827_Cam4_00066,0.61697050,0
5,20250417_123456_Cam4_00140,0.55042756,1
6,20251210_185619_Cam4_00024,0.52479134,1
7,20250417_123456_Cam4_00162,0.49267832,1
8,20251112_191827_Cam4_00011,0.48445615,1
9,20250417_123456_Cam4_00079,0.48368418,0
10,20251112_191827_Cam4_00088,0.47759903,1
11,20251112_191827_Cam4_00034,0.46736239,0
12,20251112_191827_Cam4_00063,0.46394635,0
13,20251210_185619_Cam4_00034,0.44415323,0
14,20251210_185619_Cam4_00022,0.42368645,1
15,20250417_123456_Cam4_00152,0.37806166,0
16,20250417_123456_Cam4_00134,0.35629875,0
17,20251210_185619_Cam4_00046,0.33270891,0
