rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.02035873,1
1,20251112_191827_Cam4_00095,0.01895656,1
2,20251112_191827_Cam4_00028,0.01781160,1
3,20251112_191827_Cam4_00054,0.01325061,1
4,20251112_191827_Cam4_00066,0.01267413,0
5,20250417_123456_Cam4_00140,0.01133910,1
6,20251210_185619_Cam4_00024,0.01082477,1
7,20250417_123456_Cam4_00162,0.01018050,1
8,20251112_191827_Cam4_00011,0.01001554,1
9,20250417_123456_Cam4_00079,0.01000005,0
10,20251112_191827_Cam4_00088,0.00987797,1
11,20251112_191827_Cam4_00034,0.00967259,0
12,20251112_191827_Cam4_00063,0.00960406,0
13,20251210_185619_Cam4_00034,0.00920695,0
14,20251210_185619_Cam4_00022,0.00879634,1
15,20250417_123456_Cam4_00134,0.00744436,0
16,20250417_123456_Cam4_00152,0.00716385,0
17,20251210_185619_Cam4_00046,0.00697108,0
