rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04810281,1
1,20251112_191827_Cam4_00015,0.03656885,1
2,20251112_191827_Cam4_00028,0.01500024,1
3,20251210_185619_Cam4_00024,0.01198627,1
4,20250417_123456_Cam4_00152,0.01058704,0
5,20250417_123456_Cam4_00134,0.00849033,0
6,20251210_185619_Cam4_00022,0.00808366,1
7,20251112_191827_Cam4_00011,0.00588141,1
8,20251112_191827_Cam4_00034,0.00445544,0
9,20251210_185619_Cam4_00046,0.00440889,0
10,20250417_123456_Cam4_00140,0.00440571,1
11,20251112_191827_Cam4_00088,0.00439008,1
12,20251112_191827_Cam4_00063,0.00419643,0
13,20251112_191827_Cam4_00066,0.00412374,0
14,20251210_185619_Cam4_00034,0.00403825,0
15,20251112_191827_Cam4_00054,0.00400971,1
16,20250417_123456_Cam4_00162,0.00376555,1
17,20250417_123456_Cam4_00079,0.00315829,0
