rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.05101082,1
1,20251112_191827_Cam4_00095,0.05069912,1
2,20250417_123456_Cam4_00152,0.03015192,0
3,20251112_191827_Cam4_00028,0.02580083,1
4,20250417_123456_Cam4_00134,0.02234073,0
5,20251210_185619_Cam4_00024,0.01175635,1
6,20251210_185619_Cam4_00022,0.00869414,1
7,20251112_191827_Cam4_00011,0.00571512,1
8,20251210_185619_Cam4_00034,0.00545286,0
9,20250417_123456_Cam4_00140,0.00473834,1
10,20251210_185619_Cam4_00046,0.00440225,0
11,20251112_191827_Cam4_00066,0.00427606,0
12,20251112_191827_Cam4_00034,0.00386419,0
13,20250417_123456_Cam4_00162,0.00379065,1
14,20251112_191827_Cam4_00088,0.00376178,1
15,20251112_191827_Cam4_00063,0.00354369,0
16,20251112_191827_Cam4_00054,0.00352329,1
17,20250417_123456_Cam4_00079,0.00287648,0
