rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.01241085,1
1,20251112_191827_Cam4_00095,0.00842005,1
2,20251112_191827_Cam4_00028,0.00776119,1
3,20251112_191827_Cam4_00054,0.00595255,1
4,20250417_123456_Cam4_00140,0.00545328,1
5,20250417_123456_Cam4_00162,0.00484952,1
6,20251112_191827_Cam4_00066,0.00421609,0
7,20251112_191827_Cam4_00034,0.00418614,0
8,20250417_123456_Cam4_00079,0.00404536,0
9,20251210_185619_Cam4_00024,0.00401423,1
10,20251112_191827_Cam4_00011,0.00400355,1
11,20251112_191827_Cam4_00088,0.00360197,1
12,20251112_191827_Cam4_00063,0.00354153,0
13,20250417_123456_Cam4_00152,0.00352718,0
14,20251210_185619_Cam4_00034,0.00328019,0
15,20251210_185619_Cam4_00022,0.00263160,1
16,20250417_123456_Cam4_00134,0.00261680,0
17,20251210_185619_Cam4_00046,0.00260030,0
