rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.06995626,1
1,20251112_191827_Cam4_00015,0.06297293,1
2,20251112_191827_Cam4_00028,0.04905940,1
3,20251210_185619_Cam4_00024,0.03360664,1
4,20250417_123456_Cam4_00152,0.01913346,0
5,20251112_191827_Cam4_00011,0.01553485,1
6,20250417_123456_Cam4_00162,0.01493187,1
7,20251112_191827_Cam4_00088,0.01453794,1
8,20251112_191827_Cam4_00034,0.01402684,0
9,20251112_191827_Cam4_00054,0.01363772,1
10,20251112_191827_Cam4_00063,0.01355386,0
11,20251112_191827_Cam4_00066,0.01350923,0
12,20250417_123456_Cam4_00140,0.01323880,1
13,20250417_123456_Cam4_00134,0.01290155,0
14,20251210_185619_Cam4_00022,0.01213308,1
15,20251210_185619_Cam4_00046,0.01154466,0
16,20251210_185619_Cam4_00034,0.01141927,0
17,20250417_123456_Cam4_00079,0.01037504,0
