rank,frame_id,score,label
0,20251112_191827_Cam4_00088,0.02803571,1
1,20251210_185619_Cam4_00024,0.02776176,1
2,20251112_191827_Cam4_00063,0.02696721,0
3,20251112_191827_Cam4_00054,0.02451789,1
4,20251112_191827_Cam4_00034,0.02391512,0
5,20251112_191827_Cam4_00066,0.02360750,0
6,20250417_123456_Cam4_00162,0.01905869,1
7,20251210_185619_Cam4_00034,0.01872227,0
8,20250417_123456_Cam4_00140,0.01852911,1
9,20251210_185619_Cam4_00022,0.01809640,1
10,20251112_191827_Cam4_00015,0.01807964,1
11,20251210_185619_Cam4_00046,0.01793865,0
12,20251112_191827_Cam4_00095,0.01675678,1
13,20251112_191827_Cam4_00028,0.01468896,1
14,20251112_191827_Cam4_00011,0.01406125,1
15,20250417_123456_Cam4_00134,0.01003761,0
16,20250417_123456_Cam4_00079,0.00878033,0
17,20250417_123456_Cam4_00152,0.00687887,0
