rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04876355,1
1,20251112_191827_Cam4_00015,0.04319095,1
2,20250417_123456_Cam4_00152,0.01895221,0
3,20251112_191827_Cam4_00028,0.01834592,1
4,20250417_123456_Cam4_00134,0.01414999,0
5,20251210_185619_Cam4_00024,0.01217521,1
6,20251112_191827_Cam4_00054,0.01024284,1
7,20251210_185619_Cam4_00022,0.00918076,1
8,20251112_191827_Cam4_00011,0.00836070,1
9,20250417_123456_Cam4_00140,0.00833921,1
10,20251112_191827_Cam4_00088,0.00670028,1
11,20251210_185619_Cam4_00034,0.00656928,0
12,20251112_191827_Cam4_00034,0.00645345,0
13,20251112_191827_Cam4_00066,0.00628315,0
14,20250417_123456_Cam4_00162,0.00611192,1
15,20250417_123456_Cam4_00079,0.00584621,0
16,20251112_191827_Cam4_00063,0.00554065,0
17,20251210_185619_Cam4_00046,0.00505705,0
