rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.06842674,1
1,20251112_191827_Cam4_00015,0.05764142,1
2,20251112_191827_Cam4_00028,0.04401827,1
3,20251210_185619_Cam4_00024,0.02671531,1
4,20250417_123456_Cam4_00152,0.02589587,0
5,20250417_123456_Cam4_00134,0.01738340,0
6,20251112_191827_Cam4_00011,0.01526890,1
7,20251112_191827_Cam4_00088,0.01431210,1
8,20251112_191827_Cam4_00034,0.01375989,0
9,20251112_191827_Cam4_00066,0.01347193,0
10,20251112_191827_Cam4_00054,0.01339052,1
11,20251112_191827_Cam4_00063,0.01325949,0
12,20250417_123456_Cam4_00140,0.01269554,1
13,20250417_123456_Cam4_00162,0.01229348,1
14,20251210_185619_Cam4_00022,0.01196039,1
15,20251210_185619_Cam4_00034,0.01134070,0
16,20251210_185619_Cam4_00046,0.01120617,0
17,20250417_123456_Cam4_00079,0.01016423,0
