epoch,loss,stage1_gain,stage1_bias,stage2_init_gain,stage2_init_bias,stage2_current_gain,stage2_current_bias
1,0.54506563,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16687566,-0.09148465
10,0.47342859,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16574240,-0.08740197
20,0.45610713,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16386276,-0.08283322
30,0.44293522,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16275288,-0.07795481
40,0.43309801,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16231978,-0.07285286
50,0.42714648,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16247815,-0.06770446
60,0.42073803,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16253050,-0.06267668
70,0.42016344,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16236286,-0.05755226
80,0.41495287,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16263781,-0.05246828
90,0.41002684,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16233243,-0.04748290
100,0.41307989,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16234952,-0.04252043
