epoch,loss,stage1_gain,stage1_bias,stage2_init_gain,stage2_init_bias,stage2_current_gain,stage2_current_bias
1,0.54070458,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16678505,-0.09077074
10,0.45564952,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16555125,-0.08486065
20,0.43547123,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16326204,-0.07811914
30,0.42267073,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16250908,-0.07146095
40,0.41391891,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16274028,-0.06483626
50,0.41438149,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16289991,-0.05840978
60,0.40683458,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16282363,-0.05228572
70,0.40321028,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16284296,-0.04632634
80,0.39841136,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16281092,-0.04041827
90,0.39542232,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16294669,-0.03471078
100,0.39308739,0.16735412,-0.09140857,0.16735412,-0.09140857,0.16264524,-0.02909111
