rank,frame_id,score,label
0,20250417_123456_Cam4_00079,0.14052731,0
1,20250417_123456_Cam4_00134,0.12863049,0
2,20250417_123456_Cam4_00152,0.12035107,0
3,20251112_191827_Cam4_00028,0.12010224,1
4,20250417_123456_Cam4_00140,0.11569218,1
5,20251112_191827_Cam4_00095,0.11532146,1
6,20251210_185619_Cam4_00034,0.11170460,0
7,20251112_191827_Cam4_00015,0.11108952,1
8,20251210_185619_Cam4_00022,0.10805217,1
9,20251112_191827_Cam4_00034,0.09860441,0
10,20251112_191827_Cam4_00066,0.09541862,0
11,20251112_191827_Cam4_00011,0.09332427,1
12,20251112_191827_Cam4_00054,0.09059925,1
13,20251112_191827_Cam4_00063,0.09046824,0
14,20250417_123456_Cam4_00162,0.08735832,1
15,20251210_185619_Cam4_00024,0.08386345,1
16,20251210_185619_Cam4_00046,0.08181313,0
17,20251112_191827_Cam4_00088,0.07868874,1
