rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.09163754,1
1,20251112_191827_Cam5_00018,0.07595200,1
2,20251112_191827_Cam5_00095,0.06651253,1
3,20251112_191827_Cam5_00006,0.05201047,0
4,20251112_191827_Cam5_00007,0.05164793,1
5,20251112_191827_Cam5_00015,0.05113924,1
6,20251112_191827_Cam5_00033,0.04202075,0
7,20251112_191827_Cam5_00022,0.03170731,0
8,20251112_191827_Cam5_00046,0.02960893,0
9,20251112_191827_Cam5_00067,0.02949617,1
10,20251112_191827_Cam5_00040,0.02948032,0
11,20251112_191827_Cam5_00123,0.02895601,1
12,20251112_191827_Cam5_00036,0.02813494,0
13,20251112_191827_Cam5_00012,0.02709855,0
