rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.10107022,1
1,20251112_191827_Cam5_00095,0.06787151,1
2,20251112_191827_Cam5_00018,0.06742746,1
3,20251112_191827_Cam5_00015,0.04886859,1
4,20251112_191827_Cam5_00006,0.04747625,0
5,20251112_191827_Cam5_00007,0.04641165,1
6,20251112_191827_Cam5_00033,0.04469438,0
7,20251112_191827_Cam5_00022,0.02866881,0
8,20251112_191827_Cam5_00046,0.02788790,0
9,20251112_191827_Cam5_00123,0.02648302,1
10,20251112_191827_Cam5_00040,0.02631065,0
11,20251112_191827_Cam5_00067,0.02612034,1
12,20251112_191827_Cam5_00036,0.02560658,0
13,20251112_191827_Cam5_00012,0.02500380,0
