rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.04892110,1
1,20251112_191827_Cam1_00095,0.04603739,1
2,20251112_191827_Cam1_00015,0.04445343,1
3,20251210_185619_Cam1_00017,0.03399862,1
4,20251210_185619_Cam1_00036,0.02551121,1
5,20251210_185619_Cam1_00010,0.02509592,0
6,20251210_185619_Cam1_00040,0.02433752,1
7,20251210_185619_Cam1_00025,0.02311673,0
8,20251210_185619_Cam1_00021,0.02209482,0
9,20250417_123456_Cam1_00147,0.02199471,1
10,20251210_185619_Cam1_00038,0.02136861,0
11,20250417_123456_Cam1_00148,0.02103079,1
12,20251210_185619_Cam1_00015,0.02008610,0
13,20251210_185619_Cam1_00018,0.01967762,0
14,20251210_185619_Cam1_00013,0.01966702,0
15,20251210_185619_Cam1_00020,0.01937986,0
16,20251210_185619_Cam1_00007,0.01929770,1
17,20251210_185619_Cam1_00045,0.01913012,0
18,20251210_185619_Cam1_00044,0.01886812,1
19,20251210_185619_Cam1_00048,0.01819944,0
20,20250417_123456_Cam1_00162,0.01818901,1
