rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.03901187,1
1,20251112_191827_Cam1_00095,0.03505224,1
2,20251112_191827_Cam1_00015,0.03501309,1
3,20251210_185619_Cam1_00017,0.02147905,1
4,20251210_185619_Cam1_00036,0.02042861,1
5,20251210_185619_Cam1_00025,0.01895279,0
6,20251210_185619_Cam1_00010,0.01893279,0
7,20251210_185619_Cam1_00038,0.01791328,0
8,20250417_123456_Cam1_00148,0.01780826,1
9,20251210_185619_Cam1_00040,0.01774147,1
10,20251210_185619_Cam1_00021,0.01761503,0
11,20250417_123456_Cam1_00147,0.01728739,1
12,20251210_185619_Cam1_00007,0.01608491,1
13,20251210_185619_Cam1_00045,0.01579082,0
14,20251210_185619_Cam1_00013,0.01570719,0
15,20251210_185619_Cam1_00015,0.01556124,0
16,20251210_185619_Cam1_00020,0.01547946,0
17,20251210_185619_Cam1_00044,0.01521762,1
18,20251210_185619_Cam1_00018,0.01459184,0
19,20251210_185619_Cam1_00048,0.01442679,0
20,20250417_123456_Cam1_00162,0.01397832,1
