rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.03790877,1
1,20251112_191827_Cam4_00028,0.00880941,1
2,20250417_123456_Cam4_00134,0.00860441,0
3,20251210_185619_Cam4_00024,0.00815582,1
4,20251112_191827_Cam4_00095,0.00790369,1
5,20250417_123456_Cam4_00152,0.00672449,0
6,20251112_191827_Cam4_00054,0.00654708,1
7,20251210_185619_Cam4_00022,0.00626588,1
8,20250417_123456_Cam4_00162,0.00542230,1
9,20250417_123456_Cam4_00140,0.00524978,1
10,20250417_123456_Cam4_00079,0.00502268,0
11,20251112_191827_Cam4_00034,0.00448252,0
12,20251112_191827_Cam4_00066,0.00420407,0
13,20251112_191827_Cam4_00011,0.00398600,1
14,20251112_191827_Cam4_00063,0.00379947,0
15,20251210_185619_Cam4_00034,0.00378938,0
16,20251112_191827_Cam4_00088,0.00370462,1
17,20251210_185619_Cam4_00046,0.00358704,0
