rank,frame_id,score,label
0,20251112_191827_Cam4_00066,0.01825222,0
1,20251112_191827_Cam4_00088,0.01817906,1
2,20251112_191827_Cam4_00054,0.01784439,1
3,20251210_185619_Cam4_00024,0.01603634,1
4,20251112_191827_Cam4_00063,0.01558057,0
5,20251112_191827_Cam4_00034,0.01437539,0
6,20251210_185619_Cam4_00046,0.01361291,0
7,20250417_123456_Cam4_00162,0.01355082,1
8,20251112_191827_Cam4_00015,0.01256111,1
9,20251210_185619_Cam4_00034,0.01006663,0
10,20251210_185619_Cam4_00022,0.00940711,1
11,20250417_123456_Cam4_00140,0.00879055,1
12,20251112_191827_Cam4_00095,0.00802807,1
13,20251112_191827_Cam4_00011,0.00781467,1
14,20251112_191827_Cam4_00028,0.00723673,1
15,20250417_123456_Cam4_00134,0.00637149,0
16,20250417_123456_Cam4_00079,0.00539142,0
17,20250417_123456_Cam4_00152,0.00463235,0
