rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.09579066,1
1,20251112_191827_Cam4_00095,0.09194610,1
2,20250417_123456_Cam4_00079,0.08534911,0
3,20251112_191827_Cam4_00028,0.07914673,1
4,20250417_123456_Cam4_00134,0.07424235,0
5,20250417_123456_Cam4_00152,0.06807506,0
6,20251210_185619_Cam4_00034,0.05899954,0
7,20250417_123456_Cam4_00140,0.05657913,1
8,20251210_185619_Cam4_00022,0.05521610,1
9,20251112_191827_Cam4_00034,0.05086196,0
10,20251112_191827_Cam4_00011,0.04903467,1
11,20251112_191827_Cam4_00066,0.04553622,0
12,20251210_185619_Cam4_00024,0.04201028,1
13,20250417_123456_Cam4_00162,0.04039192,1
14,20251112_191827_Cam4_00054,0.04000654,1
15,20251210_185619_Cam4_00046,0.03793633,0
16,20251112_191827_Cam4_00063,0.03784616,0
17,20251112_191827_Cam4_00088,0.03563345,1
