rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.10123987,1
1,20251112_191827_Cam4_00028,0.09206346,1
2,20251112_191827_Cam4_00095,0.09064928,1
3,20250417_123456_Cam4_00079,0.08854927,0
4,20250417_123456_Cam4_00134,0.07721661,0
5,20250417_123456_Cam4_00152,0.07059135,0
6,20251210_185619_Cam4_00034,0.05963217,0
7,20250417_123456_Cam4_00140,0.05832445,1
8,20251210_185619_Cam4_00022,0.05548606,1
9,20251112_191827_Cam4_00034,0.05104103,0
10,20251112_191827_Cam4_00011,0.04871371,1
11,20251112_191827_Cam4_00066,0.04477185,0
12,20251210_185619_Cam4_00024,0.04168038,1
13,20251112_191827_Cam4_00054,0.04066262,1
14,20250417_123456_Cam4_00162,0.04044712,1
15,20251112_191827_Cam4_00063,0.03837541,0
16,20251112_191827_Cam4_00088,0.03794105,1
17,20251210_185619_Cam4_00046,0.03747807,0
