rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.09710569,1
1,20251112_191827_Cam4_00095,0.09267700,1
2,20250417_123456_Cam4_00079,0.08595312,0
3,20251112_191827_Cam4_00028,0.08282212,1
4,20250417_123456_Cam4_00134,0.07465182,0
5,20250417_123456_Cam4_00152,0.06852392,0
6,20251210_185619_Cam4_00034,0.06022596,0
7,20250417_123456_Cam4_00140,0.05705101,1
8,20251210_185619_Cam4_00022,0.05539743,1
9,20251112_191827_Cam4_00034,0.05142003,0
10,20251112_191827_Cam4_00011,0.04994848,1
11,20251112_191827_Cam4_00066,0.04613962,0
12,20251210_185619_Cam4_00024,0.04264491,1
13,20250417_123456_Cam4_00162,0.04125266,1
14,20251112_191827_Cam4_00054,0.04061918,1
15,20251112_191827_Cam4_00063,0.03852917,0
16,20251210_185619_Cam4_00046,0.03822097,0
17,20251112_191827_Cam4_00088,0.03625524,1
