rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.03901573,1
1,20251210_185619_Cam4_00024,0.00928377,1
2,20251112_191827_Cam4_00028,0.00822342,1
3,20251112_191827_Cam4_00095,0.00787739,1
4,20251210_185619_Cam4_00022,0.00711281,1
5,20251112_191827_Cam4_00054,0.00646907,1
6,20250417_123456_Cam4_00162,0.00549146,1
7,20250417_123456_Cam4_00134,0.00529531,0
8,20250417_123456_Cam4_00140,0.00513367,1
9,20251112_191827_Cam4_00034,0.00486314,0
10,20250417_123456_Cam4_00079,0.00452384,0
11,20251112_191827_Cam4_00066,0.00403190,0
12,20251112_191827_Cam4_00011,0.00390864,1
13,20251210_185619_Cam4_00046,0.00386233,0
14,20251112_191827_Cam4_00063,0.00385631,0
15,20251210_185619_Cam4_00034,0.00375289,0
16,20250417_123456_Cam4_00152,0.00361519,0
17,20251112_191827_Cam4_00088,0.00360421,1
