rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.10703088,1
1,20251112_191827_Cam5_00018,0.08411766,1
2,20251112_191827_Cam5_00095,0.07457648,1
3,20251112_191827_Cam5_00015,0.05800862,1
4,20251112_191827_Cam5_00006,0.05756877,0
5,20251112_191827_Cam5_00007,0.05150932,1
6,20251112_191827_Cam5_00033,0.05020846,0
7,20251112_191827_Cam5_00046,0.03228940,0
8,20251112_191827_Cam5_00022,0.02937010,0
9,20251112_191827_Cam5_00036,0.02909131,0
10,20251112_191827_Cam5_00040,0.02857127,0
11,20251112_191827_Cam5_00123,0.02788785,1
12,20251112_191827_Cam5_00067,0.02769470,1
13,20251112_191827_Cam5_00012,0.02668294,0
