rank,frame_id,score,label
0,20251112_191827_Cam5_00018,0.01556956,1
1,20251112_191827_Cam5_00028,0.01455495,1
2,20251112_191827_Cam5_00095,0.01268177,1
3,20251112_191827_Cam5_00067,0.00771498,1
4,20251112_191827_Cam5_00040,0.00717162,0
5,20251112_191827_Cam5_00046,0.00702474,0
6,20251112_191827_Cam5_00012,0.00681452,0
7,20251112_191827_Cam5_00006,0.00679314,0
8,20251112_191827_Cam5_00033,0.00662978,0
9,20251112_191827_Cam5_00007,0.00659011,1
10,20251112_191827_Cam5_00015,0.00647053,1
11,20251112_191827_Cam5_00123,0.00613788,1
12,20251112_191827_Cam5_00022,0.00389307,0
13,20251112_191827_Cam5_00036,0.00355170,0
