rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.04107716,1
1,20251112_191827_Cam1_00015,0.03749711,1
2,20251112_191827_Cam1_00095,0.03651867,1
3,20251210_185619_Cam1_00017,0.02123744,1
4,20251210_185619_Cam1_00036,0.02117160,1
5,20251210_185619_Cam1_00040,0.01860161,1
6,20250417_123456_Cam1_00148,0.01793209,1
7,20251210_185619_Cam1_00021,0.01748004,0
8,20250417_123456_Cam1_00147,0.01717444,1
9,20251210_185619_Cam1_00007,0.01676095,1
10,20251210_185619_Cam1_00020,0.01636207,0
11,20251210_185619_Cam1_00018,0.01584087,0
12,20250417_123456_Cam1_00162,0.01566810,1
13,20251210_185619_Cam1_00044,0.01556528,1
