rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.04184408,1
1,20251112_191827_Cam1_00015,0.03789324,1
2,20251112_191827_Cam1_00095,0.03747798,1
3,20251210_185619_Cam1_00017,0.02258699,1
4,20251210_185619_Cam1_00036,0.02110800,1
5,20251210_185619_Cam1_00025,0.01954621,0
6,20251210_185619_Cam1_00010,0.01925499,0
7,20251210_185619_Cam1_00038,0.01851102,0
8,20250417_123456_Cam1_00148,0.01842190,1
9,20251210_185619_Cam1_00040,0.01835858,1
10,20251210_185619_Cam1_00021,0.01807664,0
11,20250417_123456_Cam1_00147,0.01766965,1
12,20251210_185619_Cam1_00013,0.01715519,0
13,20251210_185619_Cam1_00007,0.01665039,1
14,20251210_185619_Cam1_00020,0.01653028,0
15,20251210_185619_Cam1_00015,0.01642426,0
16,20251210_185619_Cam1_00045,0.01629923,0
17,20251210_185619_Cam1_00044,0.01556781,1
18,20251210_185619_Cam1_00048,0.01552830,0
19,20250417_123456_Cam1_00162,0.01528043,1
20,20251210_185619_Cam1_00018,0.01514559,0
