rank,frame_id,label,score
0,20251112_191827_Cam4_00095,1,0.60937500
1,20251112_191827_Cam4_00015,1,0.60546875
2,20251210_185619_Cam4_00024,1,0.55468750
3,20251112_191827_Cam4_00028,1,0.54687500
4,20251112_191827_Cam4_00066,0,0.54687500
5,20250417_123456_Cam4_00140,1,0.54296875
6,20251210_185619_Cam4_00022,1,0.54296875
7,20251112_191827_Cam4_00054,1,0.54296875
8,20251112_191827_Cam4_00034,0,0.53906250
9,20251112_191827_Cam4_00011,1,0.53906250
10,20251112_191827_Cam4_00063,0,0.53906250
11,20251112_191827_Cam4_00088,1,0.53906250
12,20250417_123456_Cam4_00152,0,0.53125000
13,20251210_185619_Cam4_00034,0,0.53125000
14,20250417_123456_Cam4_00079,0,0.52734375
15,20251210_185619_Cam4_00046,0,0.52734375
16,20250417_123456_Cam4_00134,0,0.52343750
17,20250417_123456_Cam4_00162,1,0.51953125
